TBx,TBy,TBz,TDx,TDy,TDz,TTx,TTy,TTz,ULx,ULy,ULz,LLx,LLy,LLz,JWx,JWy,JWz,vTTx,vTTy,vTTz,vTDx,vTDy,vTDz,vTBx,vTBy,vTBz,vULx,vULy,vULz,vLLx,vLLy,vLLz,vJWx,vJWy,vJWz
-37.41321032,-53.29278011,-0.175186124,-36.76668547,-60.38195939,6.416989263,-35.82749148,-71.68628657,16.08228133,-40.02194015,-68.24547406,37.74308194,-38.26763932,-84.49637396,34.41822782,-35.20952367,-97.03181001,25.45659169,1.257742616,2.246940156,15.99637563,-7.413325846,13.89599971,25.08867049,-5.880443314,21.12041188,30.28095512,-0.504502903,-2.203354446,-0.964861431,3.160744398,-9.371145134,-2.676998643,4.080255968,-3.682504376,-2.225702676
-37.43673209,-53.20829846,-0.054062303,-36.79633877,-60.32637539,6.517343945,-35.82246051,-71.6772988,16.14626684,-40.02395816,-68.25428748,37.73922249,-38.25499634,-84.53385854,34.40751983,-35.19320264,-97.04654003,25.44768888,0.931226107,-1.039452845,15.4407716,-6.187087519,11.2420648,25.45288323,-5.197051077,19.86277371,29.83577218,-0.402633374,-1.596142131,-0.531910034,2.469581044,-11.47182962,-3.58820887,4.47328098,-4.108099488,-3.236457231
-37.45752029,-53.12884737,0.065280785,-36.82108712,-60.28140713,6.619155478,-35.8187356,-71.68145662,16.20802992,-40.02556869,-68.26067204,37.73709485,-38.24511802,-84.57974585,34.39316699,-35.17530952,-97.06297243,25.43474305,0.252209984,-4.356867802,15.15610702,-5.101539545,8.842679383,26.56707478,-4.669551986,18.63091138,30.11003497,-0.264220735,-0.945407678,-0.008097967,1.711201189,-12.63169828,-4.005964205,4.669518332,-4.717114812,-3.92892496
-37.4761985,-53.05432372,0.185720925,-36.84149328,-60.24603642,6.725423777,-35.81772676,-71.69888409,16.26865435,-40.02662557,-68.26445368,37.73706246,-38.23827321,-84.63027265,34.37714314,-35.15663144,-97.08184089,25.41902736,-0.72971209,-7.414775816,15.11062811,-4.229915776,6.938010407,28.2365356,-4.294418035,17.5552915,31.09474195,-0.069996241,-0.376901598,0.496500274,0.975938632,-12.81197569,-4.01421373,4.636655125,-5.494811194,-4.33635906
-37.49337617,-52.98410255,0.310099893,-36.85841294,-60.21828437,6.83836992,-35.82064561,-71.72854319,16.32909686,-40.02690556,-68.26596128,37.73904846,-38.23436946,-84.68152055,34.36108628,-35.13808482,-97.10382013,25.40168192,-1.924242737,-9.961117988,15.26900658,-3.615079843,5.656082573,30.2318417,-4.080963073,16.73631565,32.77920427,0.178465695,0.019125818,0.853331564,0.358514948,-12.14475463,-3.798744671,4.3670169,-6.368857218,-4.543729789
-37.50970003,-52.91715729,0.44121671,-36.87287326,-60.19566004,6.959297286,-35.82834258,-71.76838766,16.39017289,-40.0261917,-68.26588478,37.74246179,-38.2329354,-84.73009957,34.3458913,-35.12061676,-97.12929556,25.383507,-3.20610302,-11.8140966,15.60312969,-3.257150755,4.994221981,32.32718519,-4.055546291,16.21919263,35.14088175,0.447284337,0.207349112,0.950194177,-0.052493583,-10.88651801,-3.578467882,3.880149273,-7.226807988,-4.65361614
-37.52592221,-52.85228052,0.581780237,-36.88590186,-60.17568316,7.088606027,-35.84116699,-71.81564405,16.45258541,-40.02440256,-68.26505538,37.74626256,-38.23314537,-84.77364564,34.33157743,-35.10509616,-97.15820279,25.36489254,-4.426779594,-12.88745944,16.09622548,-3.107260233,4.826595129,34.33636745,-4.2515195,15.98159567,38.12945064,0.675080652,0.208200936,0.718736088,-0.185581741,-9.35128431,-3.534183622,3.222784667,-7.944198331,-4.755529501
-37.54292829,-52.78835414,0.73429804,-36.89833091,-60.15637677,7.225951497,-35.85887411,-71.86719389,16.51697031,-40.02170224,-68.26422258,37.74913751,-38.2338877,-84.81105078,34.3174407,-35.09220502,-97.18997959,25.34587042,-5.434312199,-13.20643254,16.73904463,-3.074690562,4.934859755,36.13798968,-4.689959015,15.93813571,41.64989525,0.793171352,0.081996115,0.148710394,0.002127305,-7.843822432,-3.759202061,2.462914468,-8.415296639,-4.906881611
-37.56168813,-52.72460159,0.900897621,-36.91062967,-60.13663734,7.370503456,-35.88061136,-71.92001962,16.58392649,-40.01852955,-68.26389459,37.74973235,-38.23387919,-84.84242607,34.30240389,-35.08235336,-97.22364077,25.32624289,-6.100146704,-12.91020297,17.52040266,-3.050114183,5.054721288,37.68441478,-5.359906551,15.9612341,45.55023971,0.753080919,-0.096851391,-0.711059986,0.514139498,-6.608618891,-4.246004439,1.677641023,-8.578862935,-5.128238306
-37.58312775,-52.66075666,1.083098579,-36.92283012,-60.11641845,7.521241115,-35.90501195,-71.97166043,16.6540081,-40.01551723,-68.264282,37.74688811,-38.23182263,-84.86886054,34.28541987,-35.0756428,-97.25795622,25.30572994,-6.347460205,-12.23674408,18.41686364,-2.939919188,4.928510623,38.99347794,-6.206647428,15.91308646,49.61933092,0.550211341,-0.266451616,-1.761284367,1.307253992,-5.801707826,-4.908077525,0.938356735,-8.433544912,-5.410249897
